GANTT;tipo;mecanico;job;inicio_idx;fim_idx;inicio;fim;status

GANTT;FINAL_LUNCH;Mecanico1;Almoco;21;26;12:30;13:20;almoco

GANTT;FINAL_LUNCH;Mecanico1;Task23_parte_1;17;20;11:50;12:20;quebrado_antes_almoco

GANTT;FINAL_LUNCH;Mecanico1;Task23_parte_2;27;43;13:30;16:10;quebrado_depois_almoco

GANTT;FINAL_LUNCH;Mecanico1;Task30;0;16;09:00;11:40;viabilizado

GANTT;FINAL_LUNCH;Mecanico1;Task31;44;53;16:20;17:50;viabilizado

GANTT;FINAL_LUNCH;Mecanico2;Almoco;20;25;12:20;13:10;almoco

GANTT;FINAL_LUNCH;Mecanico2;Task32;2;8;09:20;10:20;viabilizado

GANTT;FINAL_LUNCH;Mecanico2;Task8;9;19;10:30;12:10;viabilizado

GANTT;FINAL_LUNCH;Mecanico2;Task18;26;53;13:20;17:50;viabilizado

GANTT;FINAL_LUNCH;Mecanico3;Almoco;21;26;12:30;13:20;almoco

GANTT;FINAL_LUNCH;Mecanico3;Task2;0;7;09:00;10:10;viabilizado

GANTT;FINAL_LUNCH;Mecanico3;Task11;8;15;10:20;11:30;viabilizado

GANTT;FINAL_LUNCH;Mecanico3;Task33_parte_1;16;20;11:40;12:20;quebrado_antes_almoco

GANTT;FINAL_LUNCH;Mecanico3;Task33_parte_2;27;43;13:30;16:10;quebrado_depois_almoco

GANTT;FINAL_LUNCH;Mecanico3;Task5;45;52;16:30;17:40;viabilizado

GANTT;FINAL_LUNCH;Mecanico4;Almoco;31;36;14:10;15:00;almoco

GANTT;FINAL_LUNCH;Mecanico4;Task6;7;16;10:10;11:40;viabilizado

GANTT;FINAL_LUNCH;Mecanico4;Task10;0;6;09:00;10:00;viabilizado

GANTT;FINAL_LUNCH;Mecanico4;Task24;17;30;11:50;14:00;viabilizado

GANTT;FINAL_LUNCH;Mecanico4;Task4;37;51;15:10;17:30;viabilizado

GANTT;FINAL_LUNCH;Mecanico5;Almoco;22;27;12:40;13:30;almoco

GANTT;FINAL_LUNCH;Mecanico5;Task27;7;21;10:10;12:30;viabilizado

GANTT;FINAL_LUNCH;Mecanico5;Task28;0;6;09:00;10:00;viabilizado

GANTT;FINAL_LUNCH;Mecanico5;Task13;40;52;15:40;17:40;viabilizado

GANTT;FINAL_LUNCH;Mecanico5;Task9;28;39;13:40;15:30;viabilizado

GANTT;FINAL_LUNCH;Mecanico6;Almoco;22;27;12:40;13:30;almoco

GANTT;FINAL_LUNCH;Mecanico6;Task1;0;6;09:00;10:00;viabilizado

GANTT;FINAL_LUNCH;Mecanico6;Task7;28;52;13:40;17:40;viabilizado

GANTT;FINAL_LUNCH;Mecanico6;Task26;7;13;10:10;11:10;viabilizado

GANTT;FINAL_LUNCH;Mecanico6;Task35;14;21;11:20;12:30;viabilizado

GANTT;FINAL_LUNCH;Mecanico7;Almoco;18;23;12:00;12:50;almoco

GANTT;FINAL_LUNCH;Mecanico7;Task14;0;2;09:00;09:20;viabilizado

GANTT;FINAL_LUNCH;Mecanico7;Task22;13;17;11:10;11:50;viabilizado

GANTT;FINAL_LUNCH;Mecanico7;Task34;24;29;13:00;13:50;viabilizado

GANTT;FINAL_LUNCH;Mecanico7;Task20;9;12;10:30;11:00;viabilizado

GANTT;FINAL_LUNCH;Mecanico7;Task21;3;5;09:30;09:50;viabilizado

GANTT;FINAL_LUNCH;Mecanico7;Task29;30;35;14:00;14:50;viabilizado

GANTT;FINAL_LUNCH;Mecanico7;Task15;6;8;10:00;10:20;viabilizado

GANTT;FINAL_LUNCH;Mecanico7;Task12;41;46;15:50;16:40;viabilizado

GANTT;FINAL_LUNCH;Mecanico7;Task19;36;40;15:00;15:40;viabilizado

GANTT;FINAL_LUNCH;Mecanico7;Task16;47;49;16:50;17:10;viabilizado

GANTT;FINAL_LUNCH;Mecanico8;Almoco;18;23;12:00;12:50;almoco

GANTT;FINAL_LUNCH;Mecanico8;Task17;0;16;09:00;11:40;viabilizado

GANTT;FINAL_LUNCH;Mecanico8;Task3;24;30;13:00;14:00;viabilizado

GANTT;FINAL_LUNCH;Mecanico8;Task25;31;52;14:10;17:40;viabilizado
